sku_code,name,mrp
SU32012,BALL RACES KIT HEET/JUSE/GS-150/HAYYTE/SLING SHOT,275.00
HH32023,BALL RACES KIT HH(Q+)N.CAG W/CUSS.RUB,285.00
TS32012,BALL RACES KIT PEP NYLON CAGE,310.00
KB32012,BALL RACES KIT PLSR 200 CC,250.00
KB32032,BALL RACES KIT PLSR 200 CC Q+,310.00
RX32010,BALL RACES KIT RX/CRX/LBRO,225.00
SU32028,BALL RACES KIT STR CITY Q+,340.00
HH32024,BALL RACES KIT SUP.SPL/UNI (Q+)N.CAG W/CUSS.RUB.,340.00
TV32019,BALL RACES KIT TVS/S-XL/S-XL 100(Q+)N.CAGE & CUSSION RUBBER,320.00
SU32027,BALL RACES KIT VEGO/JPTR,275.00
HS04019,BANDEX (STARTER DRIVE) AKTIVA\PLISUR & NEW,600.00
SU04020,BANDEX (STARTER DRIVE) JPTR/VEGO,760.00
TS04019,BANDEX (STARTER DRIVE) PEP SCUTY,1030.00
HS03005,BANDEX MANDIR AKTIVA/HET/DIO 110/MESTRO EDGE,90.00
HS03026,BANDEX MANDIR RUBBER AKTIVA,2.50
SU04022,BANDEX MANDIR VEGO,125.00
HS04025,BATTERY CLIP AKTIVA HET,20.00
UN04020,BATTERY TERMINAL BOLT 100 CC,3.10
HS04008,BATTERY TERMINAL WITH WIRE SET AKTIVA NEW,110.00
HS04005,BODY COVER RUBBER AKTIVA,7.20
UN10418,BOLT NUT SINGLE WASHER N0. 14*18,7.90
UN10450,"BOLT NUT SINGLE WASHER N0. 14*2""",12.00
UN10425,BOLT NUT SINGLE WASHER N0. 14*25,8.50
UN10475,"BOLT NUT SINGLE WASHER N0. 14*3""",15.00
UN10435,BOLT NUT SINGLE WASHER N0. 14*35,9.55
UN10815,BOLT NUT SINGLE WASHER N0. 8*15,2.95
UN10818,BOLT NUT SINGLE WASHER N0. 8*18,3.10
UN10820,BOLT NUT SINGLE WASHER N0. 8*20,3.30
UN10825,BOLT NUT SINGLE WASHER N0. 8*25,3.45
UN10835,BOLT NUT SINGLE WASHER N0. 8*35,3.90
UN10015,BOLT NUT SINGLE WASHER NO.10*15,4.60
UN10018,BOLT NUT SINGLE WASHER NO.10*18,4.20
UN10025,BOLT NUT SINGLE WASHER NO.10*25,4.55
UN10030,BOLT NUT SINGLE WASHER NO.10*30,5.20
UN10035,BOLT NUT SINGLE WASHER NO.10*35,5.75
UN10050,BOLT NUT SINGLE WASHER NO.10*50,7.00
UN00715,BOLT NUT W/WASHER N0. 7*15 HEX,3.10
UN00720,BOLT NUT W/WASHER N0. 7*20,3.10
UN00725,BOLT NUT W/WASHER N0. 7*25,3.40
UN00815,BOLT NUT W/WASHER N0. 8*15,3.20
UN00818,BOLT NUT W/WASHER N0. 8*18,3.40
UN00820,BOLT NUT W/WASHER N0. 8*20,3.60
UN00825,BOLT NUT W/WASHER N0. 8*25,3.70
UN00830,BOLT NUT W/WASHER N0. 8*30,4.15
UN00835,BOLT NUT W/WASHER N0. 8*35,4.20
UN00840,BOLT NUT W/WASHER N0. 8*40,4.55
UN00845,BOLT NUT W/WASHER N0. 8*45,5.10
UN00850,BOLT NUT W/WASHER N0. 8*50,4.95
UN00012,BOLT NUT W/WASHER NO.10*12,4.60
UN00015,BOLT NUT W/WASHER NO.10*15,4.80
UN00018,BOLT NUT W/WASHER NO.10*18,4.45
UN00025,BOLT NUT W/WASHER NO.10*25,4.81
UN00030,BOLT NUT W/WASHER NO.10*30,5.40
UN00035,BOLT NUT W/WASHER NO.10*35,6.10
UN00040,BOLT NUT W/WASHER NO.10*40,6.40
UN00045,BOLT NUT W/WASHER NO.10*45,6.90
UN00050,BOLT NUT W/WASHER NO.10*50,7.50
UN00065,BOLT NUT W/WASHER NO.10*65,9.00
UN00075,BOLT NUT W/WASHER NO.10*75,11.25
UN00119,BOLT NUT W/WASHER NO.11*19,8.00
UN00125,BOLT NUT W/WASHER NO.11*25,8.00
UN00140,BOLT NUT W/WASHER NO.11*40,12.50
UN00415,BOLT NUT W/WASHER NO.14*15,9.00
UN00418,BOLT NUT W/WASHER NO.14*18,9.00
UN00450,"BOLT NUT W/WASHER NO.14*2""",13.00
UN00463,"BOLT NUT W/WASHER NO.14*2.5""",14.50
UN00425,BOLT NUT W/WASHER NO.14*25,9.10
UN00475,"BOLT NUT W/WASHER NO.14*3""",18.00
UN00430,BOLT NUT W/WASHER NO.14*30,10.50
UN00435,BOLT NUT W/WASHER NO.14*35,10.75
UN00440,BOLT NUT W/WASHER NO.14*40,11.00
UN00460,BOLT NUT W/WASHER NO.14*60,14.00
HS05001,BRAKE CABLE CLAMP REAR AKTIVA,93.00
KB05016,BRAKE CAM W/LEVER FRONT SET 4-S,165.00
HS05011,BRAKE CAM W/LEVER FRONT SET AKTIVA,185.00
HS05018,BRAKE CAM W/LEVER FRONT SET AKTIVA NEW/COMBI,270.00
KB05180,BRAKE CAM W/LEVER FRONT SET CETE 100 BS6,245.00
KB05010,BRAKE CAM W/LEVER FRONT SET DSVR/100/125/135/NEW/CETE 100/BOX.CT/PLAT/PLT.125,165.00
HH05048,BRAKE CAM W/LEVER FRONT SET GLMR/CBZ/AMBITION/SHN/UNI/D-YGA,180.00
HH05015,BRAKE CAM W/LEVER FRONT SET HH/CD DLX,160.00
RX05015,BRAKE CAM W/LEVER FRONT SET RX,175.00
HS05012,BRAKE CAM W/LEVER FRONT SET SHN/CBEZ/UNI/D-YGA,185.00
SU05015,BRAKE CAM W/LEVER FRONT SET SKI/SMURAI/STR CITY/HEAT/HAYATE,190.00
HH05161,BRAKE CAM W/LEVER FRONT SET SPL/SPL+ NEW COMBI LEVER,270.00
HH05016,BRAKE CAM W/LEVER FRONT SET SPL/SPL+/DAWN/SU-SPL,180.00
SU05143,BRAKE CAM W/LEVER FRONT SET STR CITY BS6,260.00
SU05067,BRAKE CAM W/LEVER FRONT SET STR/STR SPORT/STR 100/PHONIX,180.00
TV09005,BRAKE CAM W/LEVER FRONT SET S-XL 100 COMBI,235.00
SU05017,BRAKE CAM W/LEVER FRONT SET VIC/GL,175.00
KB05021,BRAKE CAM W/LEVER REAR SET 4-S/BOX CT/PLT/PLT125,170.00
SU05140,BRAKE CAM W/LEVER REAR SET ACSS,190.00
SU05139,BRAKE CAM W/LEVER REAR SET ACSS 125,195.00
SU05142,BRAKE CAM W/LEVER REAR SET ACSS 125 BS6,195.00
HS05020,BRAKE CAM W/LEVER REAR SET AKTIVA,185.00
HS05022,BRAKE CAM W/LEVER REAR SET AKTIVA N/M/3G/4G,190.00
SU05013,BRAKE CAM W/LEVER REAR SET APCHE,185.00
HH05019,BRAKE CAM W/LEVER REAR SET CBZ XTRM/DRM-YGA/UNCN/PESS PRO NEW,190.00
KB05030,BRAKE CAM W/LEVER REAR SET CETE 100/PLTNA/PLTN125/4S/BOXCT,175.00
KB05093,BRAKE CAM W/LEVER REAR SET DSVR 100/125/135/N/M,175.00
KB05013,BRAKE CAM W/LEVER REAR SET DSVR/DSVR DTSI,305.00
RX05023,BRAKE CAM W/LEVER REAR SET EFZ/FAZER/SZ/SZX/SZR,190.00
HH05020,BRAKE CAM W/LEVER REAR SET HH,160.00
SU05085,BRAKE CAM W/LEVER REAR SET JPTR,190.00
HH05035,BRAKE CAM W/LEVER REAR SET PESS +,185.00
KB05019,BRAKE CAM W/LEVER REAR SET PLSR DTSI/135/150/180,190.00
KB05181,BRAKE CAM W/LEVER REAR SET PLTNA BS6(FORGING),310.00
KB05167,BRAKE CAM W/LEVER REAR SET PLTNA ES,180.00
HS05016,BRAKE CAM W/LEVER REAR SET SHN/CB TWS/GLAM/PESS+,180.00
SU05020,BRAKE CAM W/LEVER REAR SET SKI/SAMURAI/JUSE/HEAT/HAYATE,180.00
HH05091,BRAKE CAM W/LEVER REAR SET SPL CMBI/SHN/GLMR-BS6/CBEZ,185.00
HH05023,BRAKE CAM W/LEVER REAR SET SPL/CD DLX/DAWN,175.00
SU05068,BRAKE CAM W/LEVER REAR SET STR/SPORT/110/S-XL HD/VIC/GL,175.00
HH05017,BRAKE CAM W/LEVER REAR SET SU-SPL/SPLBS6/SHNBS6,180.00
TV05022,BRAKE CAM W/LEVER REAR SET S-XL,150.00
TV05059,BRAKE CAM W/LEVER REAR SET S-XL HD,170.00
RX05022,BRAKE DRUM ADJUSTER FRONT RX,52.00
KB05023,BRAKE DRUM BOLT W/NUT 4-S,17.50
HH05021,BRAKE DRUM BOLT W/NUT HH BIG,15.00
HH90018,BRAKE DRUM BOLT W/NUT HH BS6,25.00
HH05022,BRAKE DRUM BOLT W/NUT HH SMALL,14.00
SU05021,BRAKE DRUM BOLT W/NUT SKI/VIC,16.00
TV27000,BRAKE DRUM BOLT W/NUT S-XL,16.00
KB05096,BRAKE DRUM BOLT W/PIN GREEN PLSR,17.00
HH05044,BRAKE DRUM BOLT W/RUBBER HH BIG,21.00
TV05025,BRAKE MAKHI TVS,6.50
KB05026,BRAKE PEDAL 4-S,330.00
RX05026,BRAKE PEDAL AAR-15,415.00
HH05034,BRAKE PEDAL CBEZ-XTR-HANK,435.00
HH05040,BRAKE PEDAL CD D/X,260.00
HH05087,BRAKE PEDAL CD D/X BS6,370.00
KB05033,BRAKE PEDAL CETE 100,325.00
KB05161,BRAKE PEDAL CETE 100 BS6,255.00
KB05173,BRAKE PEDAL CETE 100 NEW/CT ES BS6,310.00
KB05176,BRAKE PEDAL CT110 BS6,575.00
HS05035,BRAKE PEDAL DRM NEO/HET/CD-110/LIVO,320.00
HS05029,BRAKE PEDAL DRM-YGA,290.00
KB05002,BRAKE PEDAL DSVR 100,320.00
KB05098,BRAKE PEDAL DSVR 100T/125T,430.00
KB05031,BRAKE PEDAL DSVR 112,255.00
KB05040,BRAKE PEDAL DSVR 125/135,320.00
KB05003,BRAKE PEDAL DSVR 150,340.00
KB05144,BRAKE PEDAL DSVR M/PLTN ES,360.00
KB05143,BRAKE PEDAL DSVR ST,485.00
RX05032,BRAKE PEDAL EFZ,360.00
RX05058,BRAKE PEDAL EFZ6,410.00
HH05094,BRAKE PEDAL HF 100 BS6,370.00
HH05025,BRAKE PEDAL HH,260.00
SU05043,BRAKE PEDAL JIVE/STR 110/PHONIX,370.00
SU05040,BRAKE PEDAL JUSE/HEET,365.00
HH05084,BRAKE PEDAL PESS PRO BLACK,270.00
HH05095,BRAKE PEDAL PESS PRO BS6/SU-SPL BS6,535.00
HH05043,BRAKE PEDAL PESS X-PRO,290.00
KB90026,BRAKE PEDAL PLSR 125 BS6 COMBI,465.00
KB05174,BRAKE PEDAL PLSR 125/150 BS6,505.00
KB05027,BRAKE PEDAL PLSR 150/180,295.00
KB05001,BRAKE PEDAL PLSR 200,450.00
KB05007,BRAKE PEDAL PLSR 200 NS,365.00
KB05038,BRAKE PEDAL PLSR 220,325.00
KB05177,BRAKE PEDAL PLTNA 110 COMFRT,505.00
KB05004,BRAKE PEDAL PLTNA 125,300.00
KB05162,BRAKE PEDAL PLTNA BS6,465.00
KB05099,BRAKE PEDAL PLTNA PC,310.00
KB05037,BRAKE PEDAL PLTNA/CT-D/X,290.00
UN05026,BRAKE PEDAL RUBBER STR LINE UNI (SILVER MILES),19.00
RX05025,BRAKE PEDAL RX,240.00
HS05026,BRAKE PEDAL SHN,295.00
HS05058,BRAKE PEDAL SHN BS6,420.00
